Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1150.515,1150274,1150,510000000,base_footprint,-5.114858587236436e-06,0.0015896443612783177,0.0021734020469056444,0.9999963746575211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.682282876685468e-05,-0.00021157723623406566,1.0215049400079255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1645449162231324e-10,3.133905076353846e-10,2.037896193777997e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.515,1150275,1150,511000000,base_footprint,-5.1148617029497435e-06,0.0015896443612701452,0.002173404008341237,0.9999963746532581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6822826137962015e-05,-0.00021157723629628328,1.0215051489134148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.171443171386983e-10,3.156005114298198e-10,1.46294816751496e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.515,1150276,1150,512000000,base_footprint,-5.114864818658081e-06,0.0015896443612619686,0.0021734059697769616,0.999996374648995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.682282347945216e-05,-0.0002115772363716138,1.0215053570178647e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167520337360343e-10,3.1433619788447783e-10,1.6849039372559198e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.515,1150277,1150,513000000,base_footprint,-5.114867934357299e-06,0.0015896443612537928,0.0021734079312128135,0.9999963746447322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.682282081273651e-05,-0.00021157723643775488,1.0215055640084941e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1615864897415722e-10,3.1253421858012115e-10,1.6217535569433885e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.515,1150278,1150,514000000,base_footprint,-5.114871050058316e-06,0.001589644361245619,0.00217340989264879,0.9999963746404692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.682281816788248e-05,-0.0002115772365003938,1.0215057707084579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1599744764147893e-10,3.1202688896916427e-10,1.55880508023076e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.515,1150279,1150,515000000,base_footprint,-5.114874165766672e-06,0.0015896443612374539,0.002173411854084892,0.9999963746362062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6822815534150214e-05,-0.00021157723655025243,1.0215059775422716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1605446199485904e-10,3.122282714021381e-10,1.6128784052879378e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.516,1150280,1150,516000000,base_footprint,-5.114877281466059e-06,0.001589644361229289,0.0021734138155211254,0.9999963746319431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6822812867805205e-05,-0.00021157723661708046,1.0215061854363951e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.166297886470798e-10,3.1400793551064355e-10,1.5702443582066156e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.517,1150281,1150,517000000,base_footprint,-5.114880397172766e-06,0.0015896443612211284,0.002173415776957495,0.9999963746276801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6822810234319667e-05,-0.00021157723667586316,1.021506394365101e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1716042596659443e-10,3.156462871721009e-10,1.6858452164597202e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.518,1150282,1150,518000000,base_footprint,-5.114883512876427e-06,0.0015896443612129594,0.0021734177383939974,0.9999963746234171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.682280757965758e-05,-0.0002115772367599344,1.0215066026476766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1685464811611484e-10,3.146202119152952e-10,1.7176775925163496e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.519,1150283,1150,519000000,base_footprint,-5.114886628578059e-06,0.0015896443612047908,0.0021734196998306303,0.999996374619154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.682280492719984e-05,-0.00021157723682676332,1.0215068103568886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165411001427648e-10,3.1368480930622823e-10,1.8894502875225508e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
