Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
110.042,109762,110,42000000,base_footprint,-1.9810763118316382e-06,0.0015896501000583502,0.00020094731916123817,0.9999987163135808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8971235804770617e-05,-0.0002112392015268244,7.988175186149501e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.970849454297566e-11,3.108339676626136e-10,8.680197618374821e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.043,109763,110,43000000,base_footprint,-1.9810792229346752e-06,0.001589650100055486,0.00020094915108787717,0.9999987163132129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8971234211191303e-05,-0.00021123920195415975,7.988177092432514e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.929127399560266e-11,3.0963826619951674e-10,6.454770361912403e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.044,109764,110,44000000,base_footprint,-1.981082134035972e-06,0.001589650100052618,0.00020095098301462988,0.9999987163128448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8971232605507225e-05,-0.00021123920239128738,7.988178986676567e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.865839135350278e-11,3.0770591145074647e-10,7.5304144551479e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.045,109765,110,45000000,base_footprint,-1.9810850451317253e-06,0.0015896501000497599,0.00020095281494150768,0.9999987163124765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897123099216198e-05,-0.00021123920280147264,7.988180903657978e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985503697264231e-11,3.114023509978424e-10,7.143237437930984e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.046,109766,110,46000000,base_footprint,-1.9810879562298237e-06,0.0015896501000469021,0.00020095464686850723,0.9999987163121085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89712293946831e-05,-0.00021123920323224606,7.988182813803613e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.951198300151045e-11,3.102701101778661e-10,9.164191846115127e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.047,109767,110,47000000,base_footprint,-1.981090867341154e-06,0.001589650100044041,0.0002009564787956308,0.9999987163117403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897122781889388e-05,-0.00021123920366878242,7.9881847288708e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.977669909098822e-11,3.1103474015670366e-10,8.4960440049664e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.048,109768,110,48000000,base_footprint,-1.981093778469123e-06,0.0015896501000411758,0.00020095831072287153,0.9999987163113722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897122624998945e-05,-0.00021123920410716092,7.988186630234501e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.902818924690475e-11,3.0880344577659537e-10,4.802830915953752e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.049,109769,110,49000000,base_footprint,-1.9810966895848336e-06,0.001589650100038307,0.00020096014265022198,0.999998716311004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897122462315978e-05,-0.00021123920454479918,7.988188516141735e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.821576349527558e-11,3.06387094631951e-10,8.152462098477813e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.05,109770,110,50000000,base_footprint,-1.981099600682407e-06,0.0015896501000354489,0.00020096197457769525,0.9999987163106359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89712229846922e-05,-0.00021123920495373291,7.988190428218967e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.959150374379337e-11,3.1064593446801067e-10,6.36283260189533e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.051,109771,110,51000000,base_footprint,-1.9811025117728454e-06,0.0015896501000326035,0.00020096380650528377,0.9999987163102677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897122136832234e-05,-0.00021123920535854273,7.988192325403884e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.878784350660611e-11,3.0819878874435846e-10,8.127473549009087e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.052,109772,110,52000000,base_footprint,-1.981105422882172e-06,0.0015896501000297486,0.00020096563843298722,0.9999987163098996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897121980405602e-05,-0.00021123920580825827,7.988194222290969e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.880821227777872e-11,3.0807120039728086e-10,8.174728261523269e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.053,109773,110,53000000,base_footprint,-1.9811083339949177e-06,0.0015896501000268806,0.00020096747036081361,0.9999987163095314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897121820861568e-05,-0.0002112392062651116,7.988196135045099e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967702963539204e-11,3.10689799355426e-10,8.818832911522445e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.054,109774,110,54000000,base_footprint,-1.9811112451001777e-06,0.0015896501000240107,0.00020096930228876033,0.9999987163091633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89712165912816e-05,-0.0002112392066989222,7.988198042311629e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.936010724016575e-11,3.098338561349245e-10,8.15642455511789e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.055,109775,110,55000000,base_footprint,-1.9811141561936225e-06,0.0015896501000211508,0.00020097113421682153,0.9999987163087951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897121496544435e-05,-0.00021123920710928372,7.988199937855042e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.870255055311761e-11,3.079472154448857e-10,6.842343154275637e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.056,109776,110,56000000,base_footprint,-1.9811170672939867e-06,0.0015896501000182944,0.0002009729661450096,0.999998716308427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897121337717212e-05,-0.00021123920753280938,7.988201858388347e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0005652575761696e-10,3.1193966294568694e-10,7.475872986233833e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.057,109777,110,57000000,base_footprint,-1.9811199784105452e-06,0.0015896501000154419,0.00020097479807331924,0.9999987163080587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8971211807352665e-05,-0.00021123920795514066,7.988203768667655e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.950065271164136e-11,3.1024960904495857e-10,7.487643091596024e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.058,109778,110,58000000,base_footprint,-1.981122889516764e-06,0.0015896501000125828,0.00020097663000175344,0.9999987163076904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897121018422529e-05,-0.0002112392083983881,7.988205684291656e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.981102418040186e-11,3.1119703731999413e-10,5.2128042391459095e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.059,109779,110,59000000,base_footprint,-1.9811258006251175e-06,0.0015896501000097266,0.00020097846193030183,0.9999987163073223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897120858646182e-05,-0.0002112392088237625,7.988207579444926e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.869925396014542e-11,3.0784112334766277e-10,9.115469990913284e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.06,109780,110,60000000,base_footprint,-1.98112871173117e-06,0.0015896501000068654,0.00020098029385896008,0.9999987163069541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89712069797244e-05,-0.0002112392092641748,7.988209465967082e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.826082181714286e-11,3.064562506753733e-10,1.2160932333324632e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.061,109781,110,61000000,base_footprint,-1.981131622837573e-06,0.001589650100004002,0.00020098212578775393,0.999998716306586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897120537802006e-05,-0.00021123920969852458,7.988211403929908e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100879181463387e-10,3.1478468156590686e-10,7.80754078174474e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.062,109782,110,62000000,base_footprint,-1.9811345339516735e-06,0.001589650100001144,0.0002009839577166621,0.9999987163062178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897120379126281e-05,-0.00021123921011832948,7.988213299390715e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.870164708359373e-11,3.078738801512748e-10,6.881879260642521e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.063,109783,110,63000000,base_footprint,-1.9811374450601213e-06,0.0015896500999982872,0.00020098578964569138,0.9999987163058497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89712021776798e-05,-0.0002112392105465626,7.988215208256128e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.943530576025013e-11,3.1008747522526417e-10,6.8154463173502526e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
