Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
109.114,0,109,110000000,base_footprint,-1.978363244148091e-06,0.001589650102721548,0.000199240015291775,0.9999987166552032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972728638451554e-05,-0.0002112388003615907,7.986399913802585e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0452043067924728e-07,-2.6342715257843934e-07,8.69647901360952e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.114,1,109,111000000,base_footprint,-1.978366155073438e-06,0.0015896501027186927,0.00019924184710746437,0.9999987166548383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89727270421697e-05,-0.00021123880079735777,7.986401828861581e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.977759474411114e-11,3.1106424769287294e-10,6.938065120133519e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.114,2,109,112000000,base_footprint,-1.978369066020612e-06,0.0015896501027158423,0.00019924367892326878,0.9999987166544732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897272548393513e-05,-0.00021123880121706187,7.986403725964607e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.878423603973917e-11,3.0809653875954356e-10,5.631737709822845e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.114,4,109,114000000,base_footprint,-1.9783748878784605e-06,0.0015896501027101498,0.00019924734255524898,0.9999987166537433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972722242820676e-05,-0.00021123880207534547,7.986407555697245e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992468362875357e-11,3.114780807827724e-10,9.191920776233881e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.117,5,109,115000000,base_footprint,-1.9783777988173264e-06,0.001589650102707289,0.00019924917437142125,0.9999987166533783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897272066096564e-05,-0.00021123880253010038,7.986409461440253e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.929866512876694e-11,3.0953260590044766e-10,8.790072989209727e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.117,6,109,116000000,base_footprint,-1.9783807097522557e-06,0.001589650102704435,0.0001992510061877063,0.9999987166530132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897271905105031e-05,-0.0002112388029468781,7.986411353609217e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.853152215956677e-11,3.0737587423025576e-10,7.926273839327333e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.117,7,109,117000000,base_footprint,-1.9783836206831976e-06,0.0015896501027015777,0.00019925283800410968,0.9999987166526484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972717441061703e-05,-0.0002112388033845687,7.9864132567018e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.914321245678513e-11,3.091462591039184e-10,8.797196207036034e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.119,8,109,118000000,base_footprint,-1.978386531606909e-06,0.00158965010269872,0.0001992546698206403,0.9999987166522833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897271582439509e-05,-0.00021123880381516722,7.986415177861538e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010812258399857e-10,3.120839539972071e-10,8.170410964503134e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.119,9,109,119000000,base_footprint,-1.9783894425342347e-06,0.0015896501026958533,0.00019925650163728797,0.9999987166519183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972714229649854e-05,-0.00021123880426356722,7.986417078691609e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.903258157399883e-11,3.0875607180182633e-10,9.592165509125384e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.12,10,109,120000000,base_footprint,-1.978392353471528e-06,0.0015896501026929925,0.00019925833345405442,0.9999987166515533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897271264755626e-05,-0.00021123880468176665,7.986418982951897e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.916987827991765e-11,3.092929051625742e-10,5.040331229790978e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.121,11,109,121000000,base_footprint,-1.978395264404816e-06,0.0015896501026901398,0.00019926016527094356,0.9999987166511882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972711037405744e-05,-0.00021123880509631683,7.986420894903797e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.958963213823828e-11,3.1058192477667904e-10,6.4312218270429915e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.122,12,109,122000000,base_footprint,-1.9783981753387537e-06,0.0015896501026872918,0.0001992619970879493,0.9999987166508232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897270943669949e-05,-0.00021123880551734956,7.986422794798518e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.895242366106382e-11,3.086137743672749e-10,8.644579563890638e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.123,13,109,123000000,base_footprint,-1.978401086265886e-06,0.00158965010268444,0.00019926382890507403,0.9999987166504584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897270782102022e-05,-0.0002112388059561384,7.98642469923949e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92135169854794e-11,3.093733820987482e-10,7.415372588176196e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.123,14,109,124000000,base_footprint,-1.9784039971898573e-06,0.0015896501026815765,0.00019926566072231338,0.9999987166500933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897270621269363e-05,-0.00021123880640899778,7.986426595105814e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.876659940138696e-11,3.0797254756800303e-10,7.916592527589222e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.125,15,109,125000000,base_footprint,-1.9784069081328847e-06,0.001589650102678719,0.00019926749253966833,0.9999987166497283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972704648853296e-05,-0.00021123880682747033,7.98642849325516e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.884440048678678e-11,3.0827479136520995e-10,7.008462176265152e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.126,16,109,126000000,base_footprint,-1.9784098190615934e-06,0.0015896501026758712,0.00019926932435714495,0.9999987166493632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972703017931946e-05,-0.00021123880723820278,7.986430403011074e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.947661498319004e-11,3.1025781136394316e-10,8.20939855825036e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.126,17,109,127000000,base_footprint,-1.9784127299895004e-06,0.0015896501026730144,0.0001992711561747462,0.9999987166489982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972701414357393e-05,-0.00021123880768710826,7.986432318962751e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.984611866650202e-11,3.112201526961299e-10,8.904450090036527e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.127,18,109,128000000,base_footprint,-1.978415640918746e-06,0.001589650102670161,0.000199272987992468,0.9999987166486332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897269981496957e-05,-0.00021123880811074123,7.986434226722654e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.938079161829245e-11,3.098861090056783e-10,9.374489519093296e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.129,19,109,129000000,base_footprint,-1.9784185518627675e-06,0.0015896501026673058,0.00019927481981030817,0.9999987166482681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972698242524073e-05,-0.0002112388085446583,7.986436130306917e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.915062761014522e-11,3.0916864349685395e-10,5.976538516237222e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.129,20,109,130000000,base_footprint,-1.97842146278965e-06,0.0015896501026644522,0.00019927665162825891,0.9999987166479031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89726966060621e-05,-0.00021123880897160914,7.9864380178206e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.829323176544289e-11,3.066618052450688e-10,7.123792651267461e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.13,21,109,131000000,base_footprint,-1.9784243737149333e-06,0.0015896501026615932,0.0001992784834463266,0.999998716647538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897269500092624e-05,-0.0002112388094130194,7.986439918326847e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90076949492373e-11,3.0871975491994323e-10,9.05962774596699e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.132,22,109,132000000,base_footprint,-1.9784272846418153e-06,0.001589650102658733,0.0001992803152645123,0.999998716647173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972693402100994e-05,-0.00021123880984569876,7.986441821149862e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.912284378559823e-11,3.090854451197701e-10,9.095316650412292e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.133,23,109,133000000,base_footprint,-1.9784301955751023e-06,0.0015896501026558749,0.00019928214708281908,0.999998716646808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897269181288914e-05,-0.00021123881027229206,7.986443729976178e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.943518198241904e-11,3.100436261206843e-10,8.130912637339457e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.134,24,109,134000000,base_footprint,-1.9784331065155445e-06,0.0015896501026530195,0.00019928397890125557,0.9999987166464429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897269022507286e-05,-0.00021123881069685905,7.986445656116463e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0036170944898074e-10,3.128471964822685e-10,7.1135761416116655e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.136,25,109,135000000,base_footprint,-1.978436017452919e-06,0.0015896501026501659,0.00019928581071981667,0.9999987166460779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972688616679295e-05,-0.00021123881112371844,7.986447571891574e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98101093622601e-11,3.1119862069580936e-10,7.182321118172928e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.136,26,109,136000000,base_footprint,-1.978438928395722e-06,0.0015896501026473144,0.00019928764253848228,0.9999987166457128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897268702568644e-05,-0.0002112388115501258,7.986449447633358e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.764842259099059e-11,3.046848437590357e-10,6.203387554966847e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.137,27,109,137000000,base_footprint,-1.9784418393160596e-06,0.0015896501026444636,0.00019928947435727737,0.9999987166453478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972685378497166e-05,-0.00021123881197923145,7.98645137282791e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032438436602034e-10,3.1278461648897056e-10,6.884229312763821e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.138,28,109,138000000,base_footprint,-1.9784447502395827e-06,0.0015896501026416113,0.00019929130617618013,0.9999987166449827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89726837830497e-05,-0.00021123881241267285,7.986453254864094e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.800436967505701e-11,3.05711544866856e-10,9.080937681318471e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.139,29,109,139000000,base_footprint,-1.978447661183114e-06,0.001589650102638757,0.00019929313799521195,0.9999987166446177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972682220942646e-05,-0.00021123881284669874,7.986455179956028e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031156922547198e-10,3.126384195491007e-10,7.59478587591305e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.14,30,109,140000000,base_footprint,-1.978450572121342e-06,0.0015896501026358997,0.00019929496981436278,0.9999987166442524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897268060815435e-05,-0.00021123881328251285,7.986457084682225e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923223687910001e-11,3.0941488827603575e-10,9.448757824055561e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.141,31,109,141000000,base_footprint,-1.9784534830456755e-06,0.0015896501026330433,0.0001992968016336327,0.9999987166438874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972678978291523e-05,-0.00021123881371195227,7.98645898922754e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.921247733680902e-11,3.0941174971456035e-10,7.475915097360814e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.142,32,109,142000000,base_footprint,-1.9784563939864553e-06,0.0015896501026301869,0.00019929863345302142,0.9999987166435224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897267740932748e-05,-0.00021123881414239297,7.98646089373584e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.920524489815163e-11,3.093130777664795e-10,8.801999038752518e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.143,33,109,143000000,base_footprint,-1.978459304918303e-06,0.0015896501026273304,0.00019930046527252414,0.9999987166431573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897267578928045e-05,-0.00021123881457312514,7.986462788225686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.866968481885662e-11,3.0776729737922814e-10,7.114201611718231e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.147,34,109,144000000,base_footprint,-1.978462215847286e-06,0.001589650102624475,0.0001993022970921539,0.9999987166427923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8972674181461856e-05,-0.00021123881500137125,7.986464708932621e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0007834454358672e-10,3.119973125404901e-10,7.807757166140757e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.147,35,109,145000000,base_footprint,-1.978465126794912e-06,0.001589650102621618,0.00019930412891190353,0.9999987166424272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.897267261678553e-05,-0.00021123881543504207,7.986466615587004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.931600783978456e-11,3.096541391300551e-10,6.442341698525755e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
